broad_money,petrol_future,M_0,Target
33952.1,16.63,8724.1,0
33952.1,16.59,8724.1,1
33952.1,17.21,8724.1,0
33952.1,16.95,8724.1,0
33952.1,17.33,8724.1,0
33952.1,17.35,8724.1,1
33952.1,17.25,8724.1,1
33952.1,17.18,8724.1,0
33952.1,17.01,8724.1,0
33952.1,17.09,8724.1,1
33952.1,17.04,8724.1,0
33952.1,16.39,8724.1,0
33952.1,16.38,8724.1,0
33952.1,16.05,8724.1,0
33952.1,15.96,8724.1,0
33952.1,16.16,8724.1,1
33952.1,16.15,8724.1,0
33952.1,16.31,8724.1,1
33952.1,16.08,8724.1,0
33952.1,15.61,8724.1,0
33952.1,15.26,8724.1,1
33952.1,15.03,8724.1,0
33952.1,15.26,8724.1,0
33952.1,15.87,8724.1,0
33952.1,15.68,8724.1,0
33952.1,15.71,8724.1,1
33952.1,15.76,8724.1,1
33952.1,15.52,8724.1,1
33952.1,15.61,8724.1,0
33952.1,15.49,8724.1,1
33952.1,15.47,8724.1,0
33952.1,15.57,8724.1,1
33952.1,15.73,8724.1,1
33952.1,15.76,8724.1,0
33952.1,15.7,8724.1,1
33952.1,15.68,8724.1,1
33952.1,15.31,8724.1,1
33952.1,15.34,8724.1,0
33952.1,15.22,8724.1,1
33952.1,15.27,8724.1,0
33952.1,15.18,8724.1,1
33952.1,15.08,8724.1,1
