,y,m,d,lgrpf,lgm3,lgm1
0.0960003,1988,10,14,0.021174745,0,0
0.5715876,1988,10,17,0.008360391,0,0
-0.1632985,1988,10,18,-0.017478998,0,0
-0.0211156,1988,10,19,0.022870505,0,0
0.1002076,1988,10,20,-0.023167865,0,0
-0.2059398,1988,10,21,-0.006896088,0,0
-0.5057731,1988,10,24,-0.037870993,0,0
0.2296588,1988,10,25,0.002957749,0,0
-0.0266422,1988,10,26,0.004885254,0,0
0.0106588,1988,10,27,0.00865732,0,0
0.4242226,1988,10,28,0.005363676,0,0
0.0948817,1988,10,31,-0.008550003,0,0
-0.1582515,1988,11,1,-0.004500501,0,0
0.4050253,1988,11,2,0.009903429,0,0
0.8964459,1988,11,3,0.004712102,0,0
-0.2468758,1988,11,4,0.004352308,0,0
-0.0412827,1988,11,7,0.000618213,0,0
-0.2329495,1988,11,8,-0.008106234,0,0
0.2535958,1988,11,9,0.001884144,0,0
3.3840206,1988,5,20,0.093007065,0,0
0.2237777,1988,5,23,0.004529184,0,0
0,1988,5,24,0.001249769,0,0
-0.3193531,1988,5,25,-0.00074943,0,0
-0.062237,1988,5,26,0.004229771,0,0
-0.1199378,1988,5,27,-0.002732202,0,0
0.3349946,1988,5,31,0.001988759,0,0
0.1190175,1988,6,1,0.001732725,0,0
-0.2909777,1988,6,2,0.001725839,0,0
1.0403893,1988,6,3,-0.003706661,0,0
-0.0140208,1988,6,6,-0.005997257,0,0
-0.0140253,1988,6,7,0.002759027,0,0
-0.6168993,1988,6,8,-0.001001256,0,0
-0.2282512,1988,6,9,-0.006565042,0,0
-3.2511214,1988,11,30,-0.046974756,0,0
0.2203895,1988,12,1,0.008144138,0,0
-0.0511537,1988,12,2,0.000833846,0,0
0.4835441,1988,12,5,-0.008411389,0,0
-0.1267274,1988,12,6,0.00338413,0,0
-0.5260525,1988,12,7,0.007795238,0,0
0.0616166,1988,12,8,-0.008357432,0,0
-0.3554954,1988,12,9,0.011107881,0,0
0.0258586,1988,12,12,0.005990364,0,0
0.051671,1988,12,13,-0.001625558,0,0
-0.051671,1988,12,14,0.009928697,0,0
-0.1605718,1988,12,15,-0.000530922,0,0
-0.7009964,1988,12,16,0.009718516,0,0
