,sample_len,p1,p2,train_loss,train_acc,test_loss,test_acc,epoch,batch_size
60,6,96,96,0.6884211629231771,0.5393333435058594,0.6941979818344116,0.5130000114440918,30,50
61,6,96,96,0.6900694012641907,0.5356666445732117,0.6963509888648987,0.5019999742507935,30,100
62,6,96,96,0.6902117285728454,0.531000018119812,0.6952636880874634,0.5015000104904175,30,200
63,6,96,96,0.6588020335833231,0.5803333520889282,0.7101315803527832,0.5099999904632568,60,50
64,6,96,96,0.6903599661191304,0.5339999794960022,0.6950665006637573,0.5065000057220459,60,100
65,6,96,96,0.6902430609067282,0.5346666574478149,0.6959784116744995,0.5044999718666077,60,200
66,6,96,192,0.688102426369985,0.5379999876022339,0.6957279863357544,0.5070000290870667,30,50
67,6,96,192,0.6887530264854431,0.5370000004768372,0.6965601558685303,0.5080000162124634,30,100
68,6,96,192,0.6905702147483825,0.5346666574478149,0.6948075828552246,0.503000020980835,30,200
69,6,96,192,0.6615248719851176,0.5803333520889282,0.7070260777473449,0.5199999809265137,60,50
70,6,96,192,0.6765616418520609,0.546999990940094,0.6985245466232299,0.5055000185966492,60,100
71,6,96,192,0.6900299413998922,0.5360000133514404,0.6966304407119751,0.503000020980835,60,200
72,6,192,24,0.6877784476280212,0.5413333177566528,0.6973885459899902,0.5019999742507935,30,50
73,6,192,24,0.6889147950808208,0.5386666655540466,0.6967288074493408,0.5015000104904175,30,100
74,6,192,24,0.6902881515820821,0.534333348274231,0.6959054570198059,0.5044999718666077,30,200
75,6,192,24,0.6495940626462301,0.5899999737739563,0.7169540963172912,0.5065000057220459,60,50
76,6,192,24,0.6679248944918315,0.5766666531562805,0.69824582862854,0.5195000171661377,60,100
77,6,192,24,0.6826690004666647,0.5423333048820496,0.6966107025146484,0.512499988079071,60,200
78,6,192,48,0.6868717004458109,0.5413333177566528,0.6957591161727905,0.5074999928474426,30,50
79,6,192,48,0.6902542373339335,0.534333348274231,0.6958526620864868,0.5090000033378601,30,100
80,6,192,48,0.6902684566179911,0.5353333353996277,0.6958992156982422,0.5024999976158142,30,200
81,6,192,48,0.653909295241038,0.5879999995231628,0.7121227598190307,0.5120000243186951,60,50
82,6,192,48,0.6617045437494914,0.5736666917800903,0.7080172204971313,0.5074999928474426,60,100
83,6,192,48,0.6804736917813619,0.5540000200271606,0.6988363800048828,0.5,60,200
84,6,192,96,0.6879464605649313,0.5400000214576721,0.6973667922019958,0.5055000185966492,30,50
85,6,192,96,0.6897268872261048,0.5356666445732117,0.696012107849121,0.5059999823570251,30,100
86,6,192,96,0.6902780831654867,0.5339999794960022,0.6954804177284241,0.5074999928474426,30,200
87,6,192,96,0.6514875213305156,0.5960000157356262,0.7177712483406067,0.5074999928474426,60,50
88,6,192,96,0.6667432144482931,0.5733333230018616,0.7010119099617005,0.5184999704360962,60,100
89,6,192,96,0.6901022013028463,0.5306666493415833,0.6957693061828614,0.5005000233650208,60,200
90,6,192,192,0.6868692011833191,0.5416666865348816,0.6966578679084778,0.5055000185966492,30,50
91,6,192,192,0.6897337346076965,0.5373333096504211,0.6949291400909424,0.5090000033378601,30,100
92,6,192,192,0.6896966562271118,0.5386666655540466,0.6967893886566162,0.5034999847412109,30,200
93,6,192,192,0.6595964840253195,0.5740000009536743,0.7084933748245239,0.5095000267028809,60,50
94,6,192,192,0.6895141777992249,0.5379999876022339,0.6958234648704529,0.5049999952316284,60,100
