,y,date,m,d,lgrpf,lgrau,lgm3,lgm1
274,1988,1988/2/17,2,17,0.027523517,0.013662544,0,0
275,1988,1988/2/18,2,18,-0.00420373,0.001605167,0,0
276,1988,1988/2/19,2,19,0.006550569,-0.004244669,0,0
277,1988,1988/2/22,2,22,-0.002085452,0.002542028,0,0
278,1988,1988/2/23,2,23,-0.000522931,-0.00303259,0,0
279,1988,1988/2/24,2,24,-0.003678257,-0.006577723,0,0
280,1988,1988/2/25,2,25,-0.014486767,-0.003653129,0,0
281,1988,1988/3/16,3,16,0.002176919,0.0139453,0,0
282,1988,1988/3/17,3,17,0.007534418,-0.000681858,0,0
283,1988,1988/3/18,3,18,0.007930126,-0.002591059,0,0
284,1988,1988/3/21,3,21,-0.002363871,0.006231437,0,0
285,1988,1988/3/22,3,22,-0.010664612,-0.001307023,0,0
286,1988,1988/3/23,3,23,0.020301526,0.001548634,0,0
287,1988,1988/3/7,3,7,-0.040183703,-0.013342827,0,0
288,1988,1988/3/8,3,8,0.002254616,0.000448111,0,0
289,1988,1988/3/9,3,9,0.001122934,0.000149268,0,0
290,1988,1988/3/10,3,10,0.014068565,0.00583087,0,0
291,1988,1988/3/11,3,11,0.007801102,-0.000589407,0,0
292,1988,1988/3/14,3,14,-0.019074969,0.00044213,0,0
293,1988,1988/3/15,3,15,0.002499943,-4.91033E-05,0,0
294,1988,1988/2/5,2,5,0.04219768,-0.000491339,0,0
295,1988,1988/2/8,2,8,0.009446961,0.000393116,0,0
296,1988,1988/2/9,2,9,-0.005942549,-0.003451888,0,0
297,1988,1988/2/10,2,10,-0.007290788,0.00246843,0,0
298,1988,1988/2/11,2,11,-0.000507353,-0.000492565,0,0
299,1988,1988/4/12,4,12,0.024188557,0.009939415,0,0
300,1988,1988/4/13,4,13,0.000719626,-0.001399161,0,0
301,1988,1988/4/14,4,14,0.004292896,0.000965421,0,0
302,1988,1988/4/15,4,15,0.001658067,0.005700302,0,0
303,1988,1988/4/18,4,18,0.003531826,0.001615009,0,0
304,1988,1988/4/19,4,19,-0.011645256,-0.00104432,0,0
305,1988,1988/4/20,4,20,-0.007042111,0.000475002,0,0
306,1988,1988/4/21,4,21,0.014919061,-0.003001224,0,0
307,1988,1988/4/22,4,22,-0.001421587,-0.005435667,0,0
308,1988,1988/4/25,4,25,0.002366733,0.001546221,0,0
309,1988,1988/4/26,4,26,0.004695121,-0.003097968,0,0
310,1988,1988/4/27,4,27,-0.007774397,0.003194424,0,0
311,1988,1988/4/28,4,28,-0.00694886,0.00173256,0,0
312,1988,1988/4/29,4,29,0.000241476,-0.002988166,0,0
313,1988,1988/5/2,5,2,-0.021020346,0,0,0
314,1988,1988/5/3,5,3,0.005789001,-0.003008869,0,0
315,1988,1988/5/4,5,4,-0.004271372,-0.002588728,0,0
316,1988,1988/5/5,5,5,0.004771135,0.001564851,0,0
317,1988,1988/5/6,5,6,0.008654033,-0.002005983,0,0
318,1988,1988/5/9,5,9,-0.004924026,0.001566438,0,0
