date,y,m,d,BIGpf,BIGau
1985/2/26,1985,2,26,57.11263,22.85766
1985/2/27,1985,2,27,-16.2414,76.08163
1985/2/28,1985,2,28,6.50385,-45.7907
1985/3/1,1985,3,1,75.69945,-7.55295
1985/3/4,1985,3,4,85.37553,21.11524
1985/3/5,1985,3,5,-29.84854,-11.29897
1985/3/6,1985,3,6,34.54277,-7.54901
1985/3/7,1985,3,7,48.21224,33.11794
1985/3/8,1985,3,8,-52.90647,20.94431
1985/3/11,1985,3,11,-26.69691,0
1985/3/12,1985,3,12,54.78648,-38.22446
1985/3/13,1985,3,13,21.72253,27.01685
1985/3/14,1985,3,14,20.07409,7.47495
1985/3/15,1985,3,15,19.98173,29.02999
1985/3/18,1985,3,18,80.52568,90.30538
1985/3/19,1985,3,19,-7.5333,252.63363
1985/3/20,1985,3,20,27.05893,98.28387
1985/3/21,1985,3,21,-96.98535,-74.35574
1985/3/22,1985,3,22,-15.35154,-41.10073
1985/3/25,1985,3,25,-23.12953,-12.40645
1985/3/26,1985,3,26,55.30532,124.51059
1985/3/27,1985,3,27,-44.4962,88.30262
1985/3/28,1985,3,28,13.85802,-54.89518
1985/3/29,1985,3,29,6.14495,39.75263
1985/4/1,1985,4,1,65.51488,-108.85478
1985/4/2,1985,4,2,19.61382,-31.90112
1985/4/3,1985,4,3,-4.51841,33.92943
1985/4/4,1985,4,4,12.03866,-61.26513
1985/4/8,1985,4,8,28.45878,0
1985/4/9,1985,4,9,-5.97585,86.20334
1985/4/10,1985,4,10,28.31232,55.42697
1985/4/11,1985,4,11,-44.78842,65.85334
1985/4/12,1985,4,12,-39.1938,-30.82674
1985/4/15,1985,4,15,69.104,56.891
1985/4/16,1985,4,16,-14.92935,-48.99952
1985/4/17,1985,4,17,-13.48044,-41.59119
1985/4/18,1985,4,18,10.4884,31.72459
1985/4/19,1985,4,19,43.1841,-36.37052
1985/4/22,1985,4,22,72.00446,9.94948
1985/4/23,1985,4,23,-221.23015,-14.60038
1985/4/24,1985,4,24,-60.22313,-62.26791
1985/4/25,1985,4,25,-9.33967,6.73847
1985/4/26,1985,4,26,10.89433,13.44566
1985/4/29,1985,4,29,-43.74226,-13.44566
1985/4/30,1985,4,30,-4.71291,-15.51415
1985/5/1,1985,5,1,-47.41253,-121.28283
1985/5/2,1985,5,2,4.76461,10.41058
1985/5/3,1985,5,3,-11.12557,-6.93761
1985/5/6,1985,5,6,-15.94328,0
1985/5/7,1985,5,7,19.12493,10.40227
1985/5/8,1985,5,8,-22.32062,-9.01386
1985/5/9,1985,5,9,65.04623,31.12244
1985/5/10,1985,5,10,-31.60818,-8.27753
1985/5/13,1985,5,13,33.18257,88.84383
1985/5/14,1985,5,14,11.00475,73.78153
1985/5/15,1985,5,15,20.36371,-50.16935
1985/5/16,1985,5,16,21.82389,-35.80577
1985/5/17,1985,5,17,-20.2614,32.44045
1985/5/20,1985,5,20,15.59407,10.75986
1985/5/21,1985,5,21,15.53828,-114.33044
1985/5/22,1985,5,22,-141.8874,18.57874
1985/5/23,1985,5,23,79.39791,-11.68845
1985/5/24,1985,5,24,15.70687,-9.64946
1985/5/28,1985,5,28,-20.43003,-47.87383
1985/5/29,1985,5,29,11.01273,10.45234
1985/5/30,1985,5,30,43.77375,36.04124
1985/5/31,1985,5,31,-12.46183,-8.2907
1985/6/3,1985,6,3,-56.52503,56.34021
1985/6/4,1985,6,4,-1.58069,-33.57875
1985/6/5,1985,6,5,-71.73315,-19.99613
1985/6/6,1985,6,6,9.63315,8.28543
1985/6/7,1985,6,7,-25.73604,-6.90343
1985/6/10,1985,6,10,-17.78242,-31.89787
1985/6/11,1985,6,11,22.61956,41.5596
1985/6/12,1985,6,12,9.65815,-6.89904
1985/6/13,1985,6,13,63.84451,-10.36915
1985/6/14,1985,6,14,-19.055,61.84678
1985/6/17,1985,6,17,-9.55894,8.86107
1985/6/18,1985,6,18,-1.5952,65.55258
1985/6/19,1985,6,19,12.74526,22.07772
1985/6/20,1985,6,20,-15.93743,-98.53879
1985/6/21,1985,6,21,-44.93848,-63.95395
1985/6/24,1985,6,24,-4.84253,16.59462
1985/6/25,1985,6,25,-22.67016,11.71627
