BIGau,Ndate,BIGpf,LGdija,usdin,loggas,logauf
-2.8302,1995/9/28,46.712,23.00177,-8.757498006,59.97257307,-2.263719008
5.65856,1995/9/29,-54.13372,1.30605,11.32987551,0,2.263719008
-8.49061,1995/10/2,24.68992,-25.30194,-0.514353624,343.4192598,-18.1428768
-11.91481,1995/10/3,-19.74069,-10.55718,12.84060074,-199.4140781,5.677795055
3.40757,1995/10/4,-64.78408,-8.26455,0,47.75138617,5.67038182
8.50724,1995/10/5,-109.31021,20.14413,-29.33216372,-81.49252562,-4.535713017
-2.26697,1995/10/6,40.99565,5.92308,16.49156298,16.90333729,11.33041295
16.40877,1995/10/9,70.8242,-39.32512,-14.42668961,102.4158385,19.19411988
6.77174,1995/10/10,27.51083,-4.98332,8.764775566,-102.4158385,-2.25373374
-6.77174,1995/10/11,-32.53157,13.27311,12.34376431,-99.95430676,-1.127305605
-0.565,1995/10/12,-42.91233,27.09055,-19.0446478,-64.5987684,-4.512150867
-7.34895,1995/10/13,72.95011,26.26131,15.9619943,37.38569559,-6.777028401
0.566,1995/10/16,44.67068,-8.52433,-10.80655113,-102.9598597,-3.392484083
-5.09436,1995/10/17,22.16421,10.4898,-14.96767775,30.38807607,0
2.83094,1995/10/18,-17.22905,-16.72133,23.20367845,15.1146724,-1.13141718
-21.56157,1995/10/19,-72.11468,22.60338,-30.44795839,-10.07060119,-21.55312026
0,1995/10/20,12.51931,-6.86921,-10.88912769,77.44311582,4.546396457
9.09161,1995/10/23,-40.18948,-35.81572,-16.64563473,22.22723269,3.406676722
-0.568,1995/10/24,27.67017,25.65945,7.810585678,22.11405252,0
1.70278,1995/10/25,0,-27.30361,2.600410124,92.14857318,5.671862918
2.83649,1995/10/26,64.70983,-45.79249,-7.285075692,47.72514861,-2.267856354
-3.40401,1995/10/27,-9.89282,34.87959,26.99747255,21.30639508,-3.404006564
-5.11102,1995/10/30,19.76315,13.5524,-1.035266946,25.89999165,-1.135262016
5.67854,1995/10/31,4.92677,-0.995,-8.809747299,37.39911007,5.67334479
-7.95203,1995/11/1,24.55035,10.21638,19.15132813,-39.74728251,-5.67334479
1.1369,1995/11/2,58.36072,38.01751,15.98094146,-11.75994442,4.539268581
5.68002,1995/11/3,-9.67249,15.30871,-10.30355126,-25.98451755,-5.674827436
-3.97524,1995/11/6,-56.03878,-10.41632,-5.160957017,-21.3763097,0
29.44381,1995/11/7,-14.73851,-15.34554,3.097310118,47.36082725,33.93826715
0,1995/11/8,41.6299,50.08324,0.516003662,56.15955176,-3.381916967
2.25666,1995/11/9,4.8715,10.33343,-36.26913675,-27.98900011,13.51189522
49.35218,1995/11/10,-2.43507,5.47854,23.86809612,104.0414498,36.94240062
-12.28557,1995/11/13,-7.31341,2.25543,14.98013971,25.05771075,-26.8359957
-27.48886,1995/11/14,4.87697,-0.972,-8.258514148,-13.64991638,-16.8570977
-6.19496,1995/11/15,26.7259,45.17438,-17.60166003,29.52078433,-9.017277715
-1.12731,1995/11/16,62.5241,40.92679,7.774233508,111.707414,9.017277715
12.94638,1995/11/17,89.79205,17.95734,0.517787758,119.6479203,14.61326153
-0.562,1995/11/20,-120.94158,-5.97463,-10.88652808,276.3963693,-4.491153264
